cuda
Epoch [0/500], Loss: 0.9724
Epoch [2/500], Loss: -0.4013
Epoch [4/500], Loss: -0.5846
Epoch [6/500], Loss: -0.7035
Epoch [8/500], Loss: -0.8041
Epoch [10/500], Loss: -0.8597
Epoch [12/500], Loss: -0.8920
Epoch [14/500], Loss: -0.9182
Epoch [16/500], Loss: -0.9388
Epoch [18/500], Loss: -0.9497
Epoch [20/500], Loss: -0.9577
Epoch [22/500], Loss: -0.9653
Epoch [24/500], Loss: -0.9723
Epoch [26/500], Loss: -0.9782
Epoch [28/500], Loss: -0.9832
Epoch [30/500], Loss: -0.9877
Epoch [32/500], Loss: -0.9926
Epoch [34/500], Loss: -0.9969
Epoch [36/500], Loss: -1.0009
Epoch [38/500], Loss: -1.0048
Epoch [40/500], Loss: -1.0082
Epoch [42/500], Loss: -1.0114
Epoch [44/500], Loss: -1.0143
Epoch [46/500], Loss: -1.0172
Epoch [48/500], Loss: -1.0199
Epoch [50/500], Loss: -1.0229
Epoch [52/500], Loss: -1.0256
Epoch [54/500], Loss: -1.0284
Epoch [56/500], Loss: -1.0310
Epoch [58/500], Loss: -1.0336
Epoch [60/500], Loss: -1.0359
Epoch [62/500], Loss: -1.0383
Epoch [64/500], Loss: -1.0407
Epoch [66/500], Loss: -1.0429
Epoch [68/500], Loss: -1.0450
Epoch [70/500], Loss: -1.0471
Epoch [72/500], Loss: -1.0494
Epoch [74/500], Loss: -1.0514
Epoch [76/500], Loss: -1.0536
Epoch [78/500], Loss: -1.0555
Epoch [80/500], Loss: -1.0574
Epoch [82/500], Loss: -1.0593
Epoch [84/500], Loss: -1.0612
Epoch [86/500], Loss: -1.0630
Epoch [88/500], Loss: -1.0645
Epoch [90/500], Loss: -1.0659
Epoch [92/500], Loss: -1.0674
Epoch [94/500], Loss: -1.0689
Epoch [96/500], Loss: -1.0704
Epoch [98/500], Loss: -1.0716
Epoch [100/500], Loss: -1.0727
Epoch [102/500], Loss: -1.0741
Epoch [104/500], Loss: -1.0755
Epoch [106/500], Loss: -1.0766
Epoch [108/500], Loss: -1.0781
Epoch [110/500], Loss: -1.0783
Epoch [112/500], Loss: -1.0749
Epoch [114/500], Loss: -1.0754
Epoch [116/500], Loss: -1.0751
Epoch [118/500], Loss: -1.0764
Epoch [120/500], Loss: -1.0751
Epoch [122/500], Loss: -1.0730
Epoch [124/500], Loss: -1.0802
Epoch [126/500], Loss: -1.0841
Epoch [128/500], Loss: -1.0885
Epoch [130/500], Loss: -1.0943
Epoch [132/500], Loss: -1.0956
Epoch [134/500], Loss: -1.0959
Epoch [136/500], Loss: -1.0978
Epoch [138/500], Loss: -1.1002
Epoch [140/500], Loss: -1.1028
Epoch [142/500], Loss: -1.1056
Epoch [144/500], Loss: -1.1086
Epoch [146/500], Loss: -1.1115
Epoch [148/500], Loss: -1.1145
Epoch [150/500], Loss: -1.1170
Epoch [152/500], Loss: -1.1212
Epoch [154/500], Loss: -1.1248
Epoch [156/500], Loss: -1.1277
Epoch [158/500], Loss: -1.1311
Epoch [160/500], Loss: -1.1351
Epoch [162/500], Loss: -1.1383
Epoch [164/500], Loss: -1.1408
Epoch [166/500], Loss: -1.1429
Epoch [168/500], Loss: -1.1455
Epoch [170/500], Loss: -1.1484
Epoch [172/500], Loss: -1.1512
Epoch [174/500], Loss: -1.1541
Epoch [176/500], Loss: -1.1570
Epoch [178/500], Loss: -1.1598
Epoch [180/500], Loss: -1.1627
Epoch [182/500], Loss: -1.1658
Epoch [184/500], Loss: -1.1686
Epoch [186/500], Loss: -1.1697
Epoch [188/500], Loss: -1.1722
Epoch [190/500], Loss: -1.1747
Epoch [192/500], Loss: -1.1770
Epoch [194/500], Loss: -1.1789
Epoch [196/500], Loss: -1.1810
Epoch [198/500], Loss: -1.1830
Epoch [200/500], Loss: -1.1849
Epoch [202/500], Loss: -1.1863
Epoch [204/500], Loss: -1.1886
Epoch [206/500], Loss: -1.1916
Epoch [208/500], Loss: -1.1942
Epoch [210/500], Loss: -1.1982
Epoch [212/500], Loss: -1.2003
Epoch [214/500], Loss: -1.2023
Epoch [216/500], Loss: -1.2041
Epoch [218/500], Loss: -1.2061
Epoch [220/500], Loss: -1.2082
Epoch [222/500], Loss: -1.2100
Epoch [224/500], Loss: -1.2117
Epoch [226/500], Loss: -1.2133
Epoch [228/500], Loss: -1.2150
Epoch [230/500], Loss: -1.2165
Epoch [232/500], Loss: -1.2180
Epoch [234/500], Loss: -1.2194
Epoch [236/500], Loss: -1.2207
Epoch [238/500], Loss: -1.2224
Epoch [240/500], Loss: -1.2240
Epoch [242/500], Loss: -1.2255
Epoch [244/500], Loss: -1.2270
Epoch [246/500], Loss: -1.2285
Epoch [248/500], Loss: -1.2299
Epoch [250/500], Loss: -1.2314
Epoch [252/500], Loss: -1.2329
Epoch [254/500], Loss: -1.2343
Epoch [256/500], Loss: -1.2357
Epoch [258/500], Loss: -1.2372
Epoch [260/500], Loss: -1.2386
Epoch [262/500], Loss: -1.2399
Epoch [264/500], Loss: -1.2413
Epoch [266/500], Loss: -1.2426
Epoch [268/500], Loss: -1.2439
Epoch [270/500], Loss: -1.2452
Epoch [272/500], Loss: -1.2464
Epoch [274/500], Loss: -1.2477
Epoch [276/500], Loss: -1.2490
Epoch [278/500], Loss: -1.2503
Epoch [280/500], Loss: -1.2516
Epoch [282/500], Loss: -1.2529
Epoch [284/500], Loss: -1.2542
Epoch [286/500], Loss: -1.2554
Epoch [288/500], Loss: -1.2567
Epoch [290/500], Loss: -1.2579
Epoch [292/500], Loss: -1.2591
